Date,open,high,low,close
20220102 203700,0.840090,0.840090,0.840020,0.840020,0
20220102 203800,0.840030,0.840030,0.839970,0.840030,0
20220102 203900,0.840020,0.840030,0.839990,0.840000,0
20220102 204000,0.840010,0.840040,0.839730,0.839850,0
20220102 204100,0.839860,0.839860,0.839700,0.839730,0
20220102 204200,0.839740,0.839950,0.839730,0.839940,0
20220102 204300,0.839950,0.840080,0.839950,0.840030,0
20220102 204400,0.840040,0.840120,0.840040,0.840040,0
20220102 204500,0.840030,0.840030,0.839780,0.839800,0
20220102 204600,0.839780,0.839850,0.839780,0.839820,0
20220102 204700,0.839830,0.839950,0.839830,0.839940,0
20220102 204800,0.839940,0.840030,0.839940,0.840010,0
20220102 204900,0.840010,0.840030,0.839970,0.840020,0
20220102 205000,0.840030,0.840090,0.840010,0.840060,0
20220102 205100,0.840040,0.840040,0.839980,0.840000,0
20220102 205200,0.840000,0.840140,0.840000,0.840140,0
20220102 205300,0.840140,0.840190,0.840080,0.840080,0
20220102 205400,0.840080,0.840140,0.840080,0.840140,0
20220102 205500,0.840160,0.840210,0.840150,0.840210,0
20220102 205600,0.840220,0.840260,0.840190,0.840190,0
20220102 205700,0.840250,0.840290,0.840240,0.840260,0
20220102 205800,0.840260,0.840280,0.840180,0.840190,0
20220102 205900,0.840190,0.840230,0.840160,0.840230,0
20220102 210000,0.840240,0.840270,0.840180,0.840190,0
20220102 210100,0.840200,0.840220,0.840170,0.840190,0
20220102 210200,0.840170,0.840170,0.840130,0.840160,0
20220102 210300,0.840140,0.840180,0.840140,0.840170,0
20220102 210400,0.840170,0.840170,0.840110,0.840120,0
20220102 210500,0.840120,0.840210,0.840100,0.840160,0
20220102 210600,0.840170,0.840230,0.840160,0.840230,0
20220102 210700,0.840240,0.840270,0.840190,0.840190,0
20220102 210800,0.840190,0.840210,0.840140,0.840160,0
20220102 210900,0.840180,0.840200,0.840140,0.840190,0
20220102 211000,0.840170,0.840230,0.840170,0.840210,0
20220102 211100,0.840240,0.840240,0.840200,0.840200,0
20220102 211200,0.840200,0.840200,0.839960,0.839980,0
20220102 211300,0.839980,0.839980,0.839910,0.839940,0
20220102 211400,0.839930,0.839990,0.839930,0.839970,0
20220102 211500,0.839980,0.839980,0.839940,0.839940,0
20220102 211600,0.839950,0.839990,0.839950,0.839960,0
20220102 211700,0.839970,0.839970,0.839970,0.839970,0
20220102 211800,0.839980,0.840030,0.839980,0.840000,0
20220102 211900,0.839980,0.839980,0.839940,0.839960,0
20220102 212000,0.839960,0.839980,0.839920,0.839950,0
20220102 212100,0.839950,0.839950,0.839890,0.839930,0
20220102 212200,0.839940,0.839950,0.839910,0.839910,0
20220102 212300,0.839920,0.839950,0.839860,0.839910,0
20220102 212400,0.839900,0.839900,0.839840,0.839840,0
20220102 212500,0.839830,0.839940,0.839820,0.839940,0
20220102 212600,0.839940,0.839970,0.839920,0.839960,0
20220102 212700,0.839950,0.839990,0.839900,0.839990,0
20220102 212800,0.839990,0.840020,0.839980,0.840000,0
20220102 212900,0.840000,0.840030,0.839990,0.840000,0
20220102 213000,0.839990,0.840020,0.839990,0.840020,0
20220102 213100,0.840030,0.840030,0.840020,0.840020,0
20220102 213200,0.840010,0.840020,0.840000,0.840000,0
20220102 213300,0.839990,0.840000,0.839990,0.840000,0
20220102 213400,0.840010,0.840050,0.839980,0.840040,0
20220102 213500,0.840050,0.840060,0.840000,0.840040,0
20220102 213600,0.840040,0.840050,0.840020,0.840040,0
20220102 213700,0.840050,0.840050,0.840030,0.840030,0
20220102 213800,0.840040,0.840050,0.839950,0.839970,0
20220102 213900,0.839970,0.840000,0.839920,0.839930,0
20220102 214000,0.839920,0.839980,0.839920,0.839960,0
20220102 214100,0.839970,0.840000,0.839900,0.839950,0
20220102 214200,0.839950,0.839990,0.839940,0.839980,0
20220102 214300,0.839980,0.839980,0.839920,0.839930,0
20220102 214400,0.839940,0.839940,0.839900,0.839900,0
20220102 214500,0.839890,0.839930,0.839830,0.839920,0
20220102 214600,0.839910,0.839930,0.839870,0.839880,0
20220102 214700,0.839880,0.840030,0.839850,0.840000,0
20220102 214800,0.840020,0.840100,0.840020,0.840100,0
20220102 214900,0.840090,0.840110,0.840070,0.840080,0
20220102 215000,0.840070,0.840070,0.840030,0.840050,0
20220102 215100,0.840050,0.840070,0.840030,0.840030,0
20220102 215200,0.840030,0.840090,0.840030,0.840090,0
20220102 215300,0.840090,0.840100,0.840050,0.840050,0
20220102 215400,0.840020,0.840020,0.839980,0.839980,0
20220102 215500,0.839970,0.840010,0.839970,0.839990,0
