Date,Open,High,Low,Close,Volume
10/31/2022,"181.58","183.94","181.52","182.20","804,069"
10/28/2022,"179.04","181.46","178.48","181.40","820,050"
10/27/2022,"177.62","180.72","177.32","180.02","911,519"
10/26/2022,"176.88","178.54","176.88","177.90","676,393"
10/25/2022,"177.22","177.94","174.74","177.36","826,195"
10/24/2022,"173.88","177.52","173.88","176.68","874,213"
10/21/2022,"171.50","173.82","169.88","173.46","1,014,248"
10/20/2022,"171.80","173.04","171.00","172.88","782,548"
10/19/2022,"171.80","172.98","171.02","172.38","651,768"
10/18/2022,"170.62","172.40","170.10","170.28","612,647"
10/17/2022,"167.84","171.38","167.56","170.26","667,539"
10/14/2022,"169.70","170.86","167.42","167.42","945,541"
10/13/2022,"163.02","167.80","162.84","166.46","1,030,787"
10/12/2022,"164.92","165.32","162.86","164.34","703,562"
10/11/2022,"164.06","164.96","162.66","164.62","734,062"
10/10/2022,"163.32","166.20","163.26","164.86","660,515"
10/07/2022,"164.42","166.40","163.82","164.30","735,563"
10/06/2022,"167.18","168.36","164.02","164.94","952,841"
10/05/2022,"166.20","166.56","164.96","166.12","569,424"
10/04/2022,"163.20","167.92","162.98","167.20","1,113,865"
10/03/2022,"159.22","162.24","158.30","161.54","689,088"
09/30/2022,"160.34","163.16","159.90","161.80","1,197,367"
09/29/2022,"160.82","161.24","157.58","159.62","1,240,381"
09/28/2022,"161.30","162.04","156.22","160.72","1,734,543"
09/27/2022,"167.32","167.50","163.74","163.74","1,060,461"
09/26/2022,"167.00","167.90","165.04","165.74","940,979"
09/23/2022,"172.20","172.30","167.14","168.74","1,240,007"
09/22/2022,"169.00","174.38","168.60","172.22","941,711"
09/21/2022,"170.02","172.14","169.10","171.84","625,428"
09/20/2022,"174.96","176.26","171.00","171.86","899,618"
09/19/2022,"173.50","175.32","171.36","174.10","636,252"
09/16/2022,"173.58","175.18","172.64","174.16","1,895,260"
09/15/2022,"171.90","174.06","171.90","173.52","1,033,142"
09/14/2022,"173.10","173.68","171.48","172.12","890,373"
09/13/2022,"175.20","178.30","174.10","174.48","1,192,561"
09/12/2022,"170.52","176.48","170.00","176.40","1,551,658"
09/09/2022,"167.96","169.72","167.60","168.62","1,075,376"
09/08/2022,"167.30","169.42","165.08","167.56","1,001,614"
09/07/2022,"166.20","167.14","164.46","166.36","1,399,765"
09/06/2022,"168.50","170.30","167.58","169.14","633,042"
09/05/2022,"168.34","169.14","166.86","168.74","865,306"
09/02/2022,"167.40","172.58","167.12","172.36","1,083,883"
09/01/2022,"167.98","168.34","165.30","166.22","990,477"
08/31/2022,"170.40","170.62","168.16","168.58","1,018,517"
08/30/2022,"169.58","171.94","169.10","170.14","668,926"
08/29/2022,"170.10","170.70","167.60","169.42","830,076"
08/26/2022,"173.92","174.28","170.16","170.58","894,469"
08/25/2022,"174.38","174.60","172.08","173.28","541,728"
