,index,level_0,date,open,high,low,close,SMA_10,SMA_10_LOW,SMA_10_HIGH,EMA,EMA_5,EMA_8,EMA_10,EMA_13,EMA_14,EMA_20,EMA_20_HIGH,EMA_20_LOW,EMA_30,EMA_50,SMMA_20,BB_UPPER,BB_MIDDLE,BB_LOWER,BB1_UPPER,BB1_MIDDLE,BB1_LOWER,RSI,RSI_SMOOTH,RSI_7,RSI_21,ROC,WILLIAMS,MACD,SIGNAL,CCI,CCI_7,STOCHK,STOCHD,STOCHD_21,STOCHD_30,ADX,ADX_21,ADX_48,PSAR,ATR,TENKAN,KIJUN,SENKOU_A,SENKOU_B,SMA,Dev,posDev,negDev,SDpos,SDneg,TII
984,984,1061,2023-12-11T12:00:00.000Z,0.94765,0.94835,0.9472,0.9482,0.9472615000000001,0.9467045000000001,0.9475679999999999,0.9473603305667752,0.9475829853358361,0.9474037608419523,0.9473193321014716,0.9471982628400673,0.9471568350623873,0.9468959774756186,0.9472423796690935,0.9463659806162256,0.9464687961098596,0.9458731884365905,0.9461493149913816,0.9481927747074448,0.9471955,0.9461982252925552,0.9476941373537223,0.9471955,0.9466968626462776,62.915775286607705,57.58233770632013,66.18087331206986,61.273402962679796,0.1489242598675548,-16.720257234725253,0.0006055160548606997,0.0006239700004214568,150.81077952255777,79.14155251141905,83.27974276527475,82.08783825475403,83.27974276527475,83.27974276527475,24.623745589367154,25.50631943156665,18.20637227115444,0.9457344,0.0007785714285714221,0.947165,0.9458500000000001,0.94351625,0.94329,0.94497325,0.003226750000000056,0.003226750000000056,0.0,0.07101941666666656,0.0008074166666668381,98.8758843607656
985,985,1062,2023-12-11T13:00:00.000Z,0.948205,0.94821,0.947295,0.94747,0.9472975,0.9467595000000001,0.9476755000000001,0.9473822644534202,0.9475453235572241,0.947418480654852,0.9473467262648405,0.9472370824343433,0.9471985903874023,0.9469506462874643,0.9473345339863226,0.9464544586527754,0.9465333899092235,0.9459358084979007,0.9462153492418125,0.9482092593500233,0.9472050000000001,0.9462007406499768,0.9477071296750117,0.9472050000000001,0.9467028703249885,56.31480020188366,57.43613395660376,53.551714875129214,56.84069578807491,0.0380103683838231,-40.19292604501448,0.0005790919386988724,0.0006149943880769399,87.83576126376431,49.96929301688947,59.807073954985526,69.61414790996925,59.807073954985526,59.807073954985526,23.758542515507024,25.418169377674836,18.09307684279998,0.945853824,0.0007935714285714253,0.947165,0.945905,0.94351625,0.94329,0.9450648333333334,0.0024051666666666804,0.0024051666666666804,0.0,0.07260066666666654,0.0008074166666668381,98.90009842240329
986,986,1063,2023-12-11T14:00:00.000Z,0.947475,0.947595,0.94656,0.94665,0.9472395,0.9467230000000001,0.947711,0.9472358115627362,0.9472468823714827,0.947247707175996,0.9472200487621423,0.9471532135151515,0.9471254450024154,0.9469220133077059,0.9473593402733395,0.946464510209654,0.9465409131408865,0.9459638160077869,0.9462370817797217,0.9481853540231127,0.9471622500000001,0.9461391459768875,0.9476738020115564,0.9471622500000001,0.9466506979884438,49.97238986804912,57.25394051266975,42.83861564257317,52.372040746441606,-0.06123116877632939,-66.55948553054593,0.00048637683984043,0.000589270878429638,-41.317179248214046,-25.906476619160493,33.44051446945407,51.54175941957382,33.44051446945407,33.44051446945407,21.388815466833517,24.768791514892705,17.884784846659034,0.9459684710399999,0.0008232142857142784,0.947165,0.94596,0.94351,0.94329,0.9451395833333333,0.0015104166666667362,0.0015104166666667362,0.0,0.07411108333333327,0.0006204166666667899,99.1698056821196
987,987,1064,2023-12-11T15:00:00.000Z,0.946645,0.946975,0.94459,0.944755,0.94696,0.946477,0.9476505000000002,0.946739649250189,0.9464162549143218,0.9466937722479971,0.9467718580781164,0.9468106115844155,0.9468093856687599,0.9467156310879243,0.9473227364377834,0.9462859854277823,0.9464256929382487,0.945916411458462,0.9461629776907357,0.9485251332171543,0.9470405,0.9455558667828456,0.9477828166085771,0.9470405,0.9462981833914228,39.03200314426215,56.7532499361071,27.828732239064976,43.98178892087579,-0.2949712416231325,-96.00484261501279,0.00025702595794463434,0.0005228218943326373,-247.32615232367647,-140.97093109044667,3.995157384987216,25.113564292811308,3.995157384987216,3.995157384987216,21.39899653040507,24.055549020933285,17.569902959819093,0.94872,0.0009503571428571357,0.946655,0.946655,0.94424,0.94329,0.945187,-0.00043199999999998795,0.0,0.00043199999999998795,0.07411108333333327,0.000751750000000051,98.9958301515883
988,988,1065,2023-12-11T16:00:00.000Z,0.944765,0.945405,0.944555,0.945195,0.9467190000000001,0.9461884999999999,0.947415,0.9464307194001513,0.9460091699428812,0.9463607117484424,0.9464851566093679,0.9465798099294991,0.9465941342462586,0.9465708090795506,0.9471400948722802,0.9461211296727554,0.9463462933938456,0.9458881208130321,0.946114578806199,0.9486508527818122,0.9469517499999999,0.9452526472181876,0.947801301390906,0.9469517499999999,0.9461021986090937,42.1963629906352,56.400441056714065,34.08501409446771,46.08749509623885,-0.25432537819028217,-84.6338535414171,0.00010950574041435068,0.00044015866354897993,-235.26150434301817,-130.27291145274077,15.366146458582902,10.799304682870813,15.366146458582902,15.366146458582902,21.449876947987708,23.39123851746451,17.26528517777912,0.9486374,0.000987142857142853,0.9466375,0.9466375,0.9444975,0.94329,0.94523925,-4.4249999999967926e-05,0.0,4.4249999999967926e-05,0.07388600000000001,0.0007960000000000189,98.93414745186253
989,989,1066,2023-12-11T17:00:00.000Z,0.94519,0.945555,0.94503,0.94549,0.9465755,0.9460515,0.9472094999999999,0.9462425755201211,0.9458361132952541,0.9461672202487887,0.9463042190440284,0.9464241227967135,0.9464469163467575,0.9464678748814981,0.9469891334558725,0.9460172125610644,0.9462910486587587,0.9458725082321289,0.9460833498658889,0.948680475710851,0.9468660000000002,0.9450515242891494,0.9477732378554257,0.9468660000000002,0.9459587621445747,44.28429147584292,56.115591131761526,38.27063517251728,47.47736353112063,-0.1515431528368101,-77.55102040816266,1.6212057273534697e-05,0.0003553693422938909,-159.3927893738293,-73.40668054316309,22.448979591837332,15.480282619663086,22.448979591837332,22.448979591837332,21.170828920099478,22.677980407836273,16.949561643608988,0.948474104,0.00099678571428571,0.9466375,0.9466375,0.9451125,0.943845,0.94529075,0.00019925000000009518,0.00019925000000009518,0.0,0.0740852500000001,0.0006465833333333393,99.13479530142219
990,990,1067,2023-12-11T18:00:00.000Z,0.945495,0.945785,0.94531,0.945495,0.9465190000000001,0.9460049999999999,0.9470939999999999,0.946093060416097,0.9457224088635027,0.9460178379712801,0.9461570883087507,0.9462913909686116,0.9463199941671899,0.946375220130879,0.9468744540791229,0.9459498589838201,0.9462396906807742,0.9458577039877317,0.9460539323725945,0.9486426029268364,0.946762,0.9448813970731635,0.9477023014634182,0.946762,0.9458216985365818,44.32100148907229,55.91658872452488,38.348048787796465,47.50144975834253,-0.05972137073758934,-77.43097238895686,-5.666717660923748e-05,0.00027296203851326524,-119.69325128653486,-46.66666666665896,22.56902761104314,24.455581035193248,22.56902761104314,22.56902761104314,20.383298322773236,21.874201343642397,16.613081564245803,0.94831733984,0.0010082142857142848,0.9466375,0.9466375,0.9452050000000001,0.9439375000000001,0.9453478333333333,0.0001471666666666982,0.0001471666666666982,0.0,0.0742324166666668,0.0004762499999999559,99.36252375895708
991,991,1068,2023-12-11T19:00:00.000Z,0.94549,0.94571,0.944935,0.945275,0.9464075,0.9459375000000001,0.9470259999999999,0.9459294483328776,0.9455732725756684,0.9458527628665513,0.9459967086162505,0.9461461922588098,0.9461806616115646,0.9462704372612717,0.9467635536906349,0.9458532057472657,0.9461774525723371,0.9458348528509578,0.9460149857539646,0.9486679348200148,0.9466772500000001,0.9446865651799855,0.9476725924100075,0.9466772500000001,0.9456819075899928,42.979157152212984,55.68714213711491,36.02866218676385,46.51592864668528,-0.11781612231743542,-82.71308523409489,-0.00013067036923419817,0.00019223555696377254,-119.21913425754882,-49.22309175456244,17.2869147659051,28.751504698705364,17.2869147659051,17.2869147659051,20.401138705021594,21.28481191665004,16.326590866394987,0.9481668462464,0.0010257142857142884,0.9466375,0.9466375,0.9452525,0.9439850000000001,0.9454005833333333,-0.0001255833333333456,0.0,0.0001255833333333456,0.07247358333333342,0.0006018333333333015,99.17642161921763
992,992,1069,2023-12-11T20:00:00.000Z,0.94526,0.945805,0.94526,0.945435,0.946162,0.9458255,0.946811,0.9458305586663022,0.9455271817171123,0.9457599266739845,0.9458945797769321,0.946044593364694,0.9460812400633559,0.9461908718078172,0.9466722628629554,0.9457967099618118,0.9461295524063799,0.9458191723469987,0.9459859864662663,0.9486562833931024,0.946598,0.9445397166068977,0.9476271416965513,0.946598,0.9455688583034488,44.29993643562796,55.45004689471437,39.15132498990831,47.350077211665415,-0.2589962970386843,-78.87154861944784,-0.0001743974247752078,0.00011890896061597647,-89.1336803454048,-15.393231930213732,21.128451380552157,43.69103958242632,21.128451380552157,21.128451380552157,20.115182558092247,20.669116401257632,16.03446487946585,0.948022372396544,0.0010417857142857115,0.9464525,0.9466375,0.9452775,0.9439875,0.9454575,-2.2499999999925357e-05,0.0,2.2499999999925357e-05,0.07102425000000012,0.0006243333333332268,99.12861733716547
993,993,1070,2023-12-11T21:00:00.000Z,0.94543,0.945875,0.94524,0.94562,0.9459584999999999,0.9455975000000001,0.9465265,0.9457884469330418,0.9455581211447415,0.9457288318575436,0.9458446561811262,0.9459839371697377,0.9460197413882417,0.9461365030642156,0.9465963330664833,0.9457436899654488,0.9460966780575812,0.9458113616667244,0.9459676871429532,0.9486408627157543,0.9465394999999999,0.9444381372842454,0.9475901813578771,0.9465394999999999,0.9454888186421226,45.86142869502215,55.32905796448603,42.91051532240904,48.32846573427281,-0.21474059652510769,-74.42977190876377,-0.0001919112440763593,5.674491967750931e-05,-73.63564041368191,91.34045077103075,25.570228091236235,57.67480218041137,25.570228091236235,25.570228091236235,19.606040533750704,20.041479284418127,15.739742471204135,0.9478836775006823,0.0010007142857142912,0.9463825,0.9466375,0.9452775,0.9439875,0.9455261666666668,9.383333333323751e-05,9.383333333323751e-05,0.0,0.06730058333333322,0.0006243333333332268,99.08084784793027
994,994,1071,2023-12-11T22:00:00.000Z,0.94567,0.945775,0.94516,0.945625,0.945701,0.9453935,0.946269,0.9457557575464335,0.9455804140964944,0.945705758111423,0.9458047186936487,0.9459326604312037,0.9459671092031428,0.9460877884866712,0.9465181108696752,0.9456881004449298,0.9460662472151566,0.9458040533660685,0.9459505527858054,0.9486176707031991,0.9464812499999999,0.9443448292968007,0.9475494603515995,0.9464812499999999,0.9454130396484004,45.90556740884897,55.23494625433062,43.02150924409609,48.35570049580005,-0.2715671799198475,-74.30972388955529,-0.00020304701425155613,4.786532891696206e-06,-70.11316404234778,52.723827569911535,25.690276110444703,72.22553191489568,25.690276110444703,25.690276110444703,19.391272989665175,19.48557715299116,15.460911494291945,0.9477505304006549,0.0009614285714285813,0.946075,0.9466375,0.945305,0.9439875,0.9455990833333333,2.5916666666736532e-05,2.5916666666736532e-05,0.0,0.06414216666666672,0.0006243333333332268,99.03602428210073
995,995,1072,2023-12-11T23:00:00.000Z,0.945615,0.945725,0.94547,0.94556,0.94551,0.9452109999999999,0.9460205,0.9457166060371468,0.9455736093976629,0.9456733674199957,0.9457602243857126,0.945879423226746,0.9459128279760571,0.9460375229165121,0.9464425765011346,0.9456673289739842,0.9460335861045014,0.9457944826458305,0.9459310251465152,0.9485565275815896,0.94640375,0.9442509724184104,0.9474801387907948,0.94640375,0.9453273612092051,45.38751072240464,55.08650842711179,41.78926183056946,48.010287101704435,-0.20158949623735614,-75.87034813925742,-0.00021464287961103778,-3.909934960885061e-05,-59.45194979399926,79.56648162846156,24.12965186074259,70.92198581560292,24.12965186074259,24.12965186074259,19.2003685060336,18.956146551632138,15.187889496070309,0.9476227091846288,0.0009239285714285815,0.945765,0.9466375,0.9453325,0.9439875,0.9456510833333334,-9.108333333340823e-05,0.0,9.108333333340823e-05,0.06044016666666674,0.0007154166666666351,98.830169499378
996,996,1073,2023-12-12T00:00:00.000Z,0.945555,0.94561,0.945045,0.945155,0.9453604999999999,0.9450594999999999,0.9458219999999999,0.9456042848297175,0.9454340729317753,0.9455581746599968,0.9456501835883103,0.9457759341943538,0.945811784245916,0.9459534731149395,0.9463632835010266,0.9456080595478905,0.9459769031300174,0.9457694048950137,0.9458922238891895,0.948484878654948,0.9462999999999999,0.9441151213450518,0.947392439327474,0.9462999999999999,0.9452075606725259,42.19249170678084,54.80025199653051,34.58775875158747,45.86679986803835,-0.15792531558654457,-85.59423769507953,-0.00025358957891408185,-8.199739546989687e-05,-75.19349290526148,-128.4403669725366,14.405762304920472,51.04887635648731,14.405762304920472,14.405762304920472,20.888706815334885,18.68074347316721,14.973128336716726,0.9475000008172436,0.0008517857142857196,0.945215,0.9466375,0.94580875,0.9440775,0.94566175,-0.0005067500000000003,0.0,0.0005067500000000003,0.05656516666666678,0.0012221666666666353,97.88506131678227
997,997,1074,2023-12-12T01:00:00.000Z,0.94515,0.94537,0.945025,0.94503,0.945388,0.9451029999999999,0.9456614999999999,0.9454894278637741,0.9452993819545169,0.9454408025133311,0.9455374229358903,0.945669372166589,0.9457075463464606,0.945865523294469,0.9462686850723575,0.945552530067139,0.9459158126055001,0.9457404086246209,0.9458491126947299,0.9483459712123722,0.9461739999999998,0.9440020287876275,0.9472599856061861,0.9461739999999998,0.9450880143938136,41.22784694354075,54.74076198441367,32.566896970328614,45.21262981958884,0.029108075638660313,-87.48353096179173,-0.0002911849749047679,-0.0001238349113568711,-78.29443117074025,-121.2148685403674,12.516469038208278,26.776869681476697,11.404561824730038,11.404561824730038,22.47517802036087,18.429122564223928,14.765310118094476,0.9473822007845538,0.0007907142857142954,0.945405,0.9466375,0.9458150000000001,0.9440775,0.9456709166666666,-0.0006409166666665467,0.0,0.0006409166666665467,0.053071583333333505,0.001863083333333182,96.60854712264293
998,998,1075,2023-12-12T02:00:00.000Z,0.94504,0.945215,0.94491,0.944935,0.9453619999999999,0.9451385,0.9456425000000002,0.9453785422910194,0.9451779213030113,0.945328401954813,0.9454278914930012,0.9455644618570763,0.9456045401669325,0.9457769020283291,0.9461683341130852,0.9454913367274116,0.9458525343728871,0.945708823972675,0.9458034070599934,0.9481699350622211,0.9460405,0.9439110649377788,0.9471052175311105,0.9460405,0.9449757824688894,40.470544153655446,54.69152743596404,30.962855552246722,44.70383823477672,-0.02750755135184147,-89.60328317373626,-0.00032490005751961704,-0.0001640479405894203,-81.70452204366909,-119.73047684861815,10.39671682626374,5.577140250901793,9.123649459782431,9.123649459782431,24.417631961071063,18.25353351886494,14.576219523070513,0.9472691127531717,0.0007303571428571536,0.9453925000000001,0.9466375,0.94626375,0.9440775,0.9456595833333333,-0.0007245833333333618,0.0,0.0007245833333333618,0.04984583333333359,0.0025876666666665438,95.06485993369404
999,999,1076,2023-12-12T03:00:00.000Z,0.94493,0.94507,0.94409,0.94444,0.945257,0.9450445000000001,0.945594,0.9451908338328155,0.9449319475353408,0.9451309792981881,0.9452482748579101,0.9454038244489226,0.9454492681446749,0.9456495780256311,0.9460637308642198,0.9453578760867057,0.9457614031230234,0.945659066169825,0.9457352367069938,0.9481171753436742,0.94591625,0.9437153246563258,0.9470167126718372,0.94591625,0.9448157873281628,36.68890623890884,54.415836520020385,23.828379439346364,42.111162100516786,-0.11105352780041103,-90.01426533523642,-0.0003870996230154189,-0.00020865827707462002,-110.43373587544221,-161.982109227861,9.985734664763578,8.295045511087501,7.55939524837926,7.55939524837926,28.464023501557893,18.495493485099455,14.48854321568449,0.9471605482430449,0.0007350000000000094,0.9449825000000001,0.9464049999999999,0.9462550000000001,0.9440775,0.9456460833333333,-0.0012060833333333854,0.0,0.0012060833333333854,0.04644816666666696,0.003793749999999929,92.44903409006109
1000,1000,1077,2023-12-12T04:00:00.000Z,0.94446,0.94451,0.944075,0.944355,0.9451429999999998,0.9449210000000001,0.9454665,0.9450236670662525,0.9447396316902271,0.9449585394541464,0.9450858612473809,0.9452539923847907,0.9453033657253849,0.945526284880333,0.9459157564961987,0.9452356974117814,0.945670667437667,0.945607926320028,0.9456662248716441,0.948138006718674,0.9458310000000001,0.9435239932813262,0.946984503359337,0.9458310000000001,0.9446774966406631,36.065697343342165,54.21146333618677,22.776956864891204,41.67536345213764,-0.1205717639966281,-90.34482758620494,-0.00043820071138933603,-0.00025456676393756323,-116.17063678582302,-133.32110091745758,9.655172413795057,14.179314528140742,6.027987082886058,6.027987082886058,32.09396320177237,18.73329672951242,14.404418841052669,0.9469763153484622,0.0006921428571428634,0.944975,0.9463975,0.9462487500000001,0.9440775,0.9456315,-0.0012764999999999027,0.0,0.0012764999999999027,0.04274641666666701,0.005070249999999832,89.39647960962047
1001,1001,1078,2023-12-12T05:00:00.000Z,0.94436,0.944385,0.94393,0.944095,0.945025,0.9448205,0.9453340000000001,0.9448379336530021,0.9445247544601515,0.9447666417976696,0.944905704656948,0.9450884220441064,0.9451422502953335,0.9453899720345871,0.9457699701632275,0.945111345277326,0.9455690114739466,0.9455485958761053,0.945587663628062,0.9481319309544496,0.9457162499999999,0.9433005690455503,0.9469240904772248,0.9457162499999999,0.944508409522775,34.154581750446354,53.96914558055489,19.67831175726016,40.334725589944064,-0.12483139827034026,-91.51670951156952,-0.0004939841770795761,-0.00030245024656596584,-118.92387368808747,-105.85707146426898,8.483290488430482,17.035367835785227,3.4446764091852202,3.4446764091852202,35.656913459201625,19.035909871954416,14.338872563725879,0.9467442101205852,0.0005542857142857215,0.9449025,0.9463250000000001,0.9462487500000001,0.9440775,0.945617,-0.0015220000000000233,0.0,0.0015220000000000233,0.039717333333333715,0.006592249999999855,85.7648254950833
